################################## JSON file used at runtime    ###################################################################
### certifiedGolden_11mar2020_2016_2017_2018.json
################################## NO systematics used at runtime ###################################################################
################################## Preliminary Cut Values ###################################################################
########################### variableName                        value1          value2          value3          value4          level
### Preliminary cut values: produceSkim          1                 -               -               -               -1
### Preliminary cut values: eleEta_bar            	1.4442        -                    -               -               -1
### Preliminary cut values: eleEta_end1            	1.566        2.0                  -               -               -1
### Preliminary cut values: eleEta_end2            	2.000        2.5                  -               -               -1
### Preliminary cut values: QCDFakeRateFileName		/afs/cern.ch/user/e/eipearso/public/plotsToShare/fr2D_2018.root	- - - -1
### Preliminary cut values: TriggerSFFileName   egammaEffi.txt_EGM2D.root  - - - -1
### Preliminary cut values: RecoSFFileName /afs/cern.ch/user/s/scooper/work/public/Leptoquarks/egammaRecoSF/2018/egammaEffi.txt_EGM2D_updatedAll.root  - - - -1
### Preliminary cut values: AnalysisYear   2018  - - - -1
### Preliminary cut values: BTagAlgo       DeepJet  - - - -1
### Preliminary cut values: BTagWP         Medium   - - - -1
### Preliminary cut values: BTagCutValue   0.2770   - - - -1
################################## Cuts #########################################################################################################################################################################################################################
#id                       variableName                min1                max1                min2                max2               level                   N               Npass              EffRel           errEffRel              EffAbs           errEffAbs
  1                             NoCuts                   -                   -                   -                   -                  -1      476408000.0000      476408000.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  2                           PassJSON                   -                   -                   -                   -                  -1      476408000.0000      476408000.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  3                         nEle_ptCut                   -                   -                   -                   -                  -1      476408000.0000          45347.0000          9.5185e-05          4.4697e-07          9.5185e-05          4.4697e-07
  4                            Ele1_Pt                   -                   -                   -                   -                  -1          45347.0000          45347.0000              1.0000          0.0000e+00          9.5185e-05          4.4697e-07
  5                        PassTrigger                   -                   -                   -                   -                  -1          45347.0000          41445.0000              0.9140          1.3169e-03          8.6995e-05          4.2731e-07
  6                        Reweighting              0.0000              1.0000                   -                   -                   0          41445.0000       11571904.3403            279.2111          0.0000e+00          2.4290e-02          1.1931e-04
  7                        PassLHECuts              0.0000              1.0000                   -                   -                   0       11571904.3403       11571904.3403              1.0000          0.0000e+00          2.4290e-02          1.1931e-04
  8                           PassJSON              0.0000              1.0000                   -                   -                   0       11571904.3403       11571904.3403              1.0000          0.0000e+00          2.4290e-02          1.1931e-04
  9                            PassHLT              0.0000              1.0000                   -                   -                   0       11571904.3403       11571904.3403              1.0000          0.0000e+00          2.4290e-02          1.1931e-04
 10 PassGlobalSuperTightHalo2016Filter              0.0000              1.0000                   -                   -                   0       11571904.3403       11571904.3403              1.0000          0.0000e+00          2.4290e-02          1.1931e-04
