################################## JSON file used at runtime    ###################################################################
### certifiedGolden_11mar2020_2016_2017_2018.json
################################## NO systematics used at runtime ###################################################################
################################## Preliminary Cut Values ###################################################################
########################### variableName                        value1          value2          value3          value4          level
### Preliminary cut values: produceSkim          1                 -               -               -               -1
### Preliminary cut values: eleEta_bar            	1.4442        -                    -               -               -1
### Preliminary cut values: eleEta_end1            	1.566        2.0                  -               -               -1
### Preliminary cut values: eleEta_end2            	2.000        2.5                  -               -               -1
### Preliminary cut values: QCDFakeRateFileName		/afs/cern.ch/user/s/scooper/work/public/Leptoquarks/qcd_fake_rate/2016/FR2D2JetReminiAOD23_10.root	- - - -1
### Preliminary cut values: TriggerSFFileName   egammaEffi.txt_EGM2D.root  - - - -1
### Preliminary cut values: RecoSFFileName /afs/cern.ch/user/s/scooper/work/public/Leptoquarks/egammaRecoSF/2018/egammaEffi.txt_EGM2D_updatedAll.root  - - - -1
### Preliminary cut values: AnalysisYear   2018  - - - -1
### Preliminary cut values: BTagAlgo       DeepJet  - - - -1
### Preliminary cut values: BTagWP         Medium   - - - -1
### Preliminary cut values: BTagCutValue   0.2770   - - - -1
################################## Cuts #########################################################################################################################################################################################################################
#id                       variableName                min1                max1                min2                max2               level                   N               Npass              EffRel           errEffRel              EffAbs           errEffAbs
  1                             NoCuts                   -                   -                   -                   -                  -1       79527324.0000       79527324.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  2                           PassJSON                   -                   -                   -                   -                  -1       79527324.0000       79527324.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  3                         nEle_ptCut                   -                   -                   -                   -                  -1       79527324.0000        6349132.0000          7.9836e-02          3.0393e-05          7.9836e-02          3.0393e-05
  4                            Ele1_Pt                   -                   -                   -                   -                  -1        6349132.0000        6349132.0000              1.0000          0.0000e+00          7.9836e-02          3.0393e-05
  5                        PassTrigger                   -                   -                   -                   -                  -1        6349132.0000        6278767.0000              0.9889          4.1547e-05          7.8951e-02          3.0239e-05
  6                        Reweighting              0.0000              1.0000                   -                   -                   0        6278767.0000     3601927701.6163            573.6680          0.0000e+00             45.2917          1.7347e-02
  7                        PassLHECuts              0.0000              1.0000                   -                   -                   0     3601927701.6163     3601927701.6163              1.0000          0.0000e+00             45.2917          1.7347e-02
  8                           PassJSON              0.0000              1.0000                   -                   -                   0     3601927701.6163     3601927701.6163              1.0000          0.0000e+00             45.2917          1.7347e-02
  9                            PassHLT              0.0000              1.0000                   -                   -                   0     3601927701.6163     3601927701.6163              1.0000          0.0000e+00             45.2917          1.7347e-02
 10 PassGlobalSuperTightHalo2016Filter              0.0000              1.0000                   -                   -                   0     3601927701.6163     3601747610.6658              1.0000          1.5956e-03             45.2894          1.7347e-02
 11                   PassGoodVertices              0.0000              1.0000                   -                   -                   0     3601747610.6658     3601747610.6658              1.0000          0.0000e+00             45.2894          1.7347e-02
 12                PassHBHENoiseFilter              0.0000              1.0000                   -                   -                   0     3601747610.6658     3601716641.6177              1.0000          8.1724e-04             45.2890          1.7346e-02
 13             PassHBHENoiseIsoFilter              0.0000              1.0000                   -                   -                   0     3601716641.6177     3600863831.8205              0.9998          3.4342e-03             45.2783          1.7345e-02
 14        PassBadEESupercrystalFilter              0.0000              1.0000                   -                   -                   0     3600863831.8205     3600863831.8205              1.0000          0.0000e+00             45.2783          1.7345e-02
 15           PassEcalDeadCellTrigPrim              0.0000              1.0000                   -                   -                   0     3600863831.8205     3600664415.8074              0.9999          1.7122e-03             45.2758          1.7344e-02
 16                PassBadPFMuonFilter              0.0000              1.0000                   -                   -                   0     3600664415.8074     3600540007.7429              1.0000          1.1379e-03             45.2743          1.7344e-02
 17             PassEcalBadCalibFilter              0.0000              1.0000                   -                   -                   0     3600540007.7429     3600319780.8489              0.9999          1.9961e-03             45.2715          1.7343e-02
 18                           PassNEle              0.0000              1.0000                   -                   -                   1     3600319780.8489     3600319780.8489              1.0000          0.0000e+00             45.2715          1.7343e-02
 19                          PassNMuon              0.0000              1.0000                   -                   -                   1     3600319780.8489     3598572839.2551              0.9995          5.0311e-03             45.2495          1.7339e-02
 20                    nEle_hltMatched                -inf                +inf                   -                   -                   1     3598572839.2551     3598572839.2551              1.0000          0.0000e+00             45.2495          1.7339e-02
 21                    nJet_hltMatched                -inf                +inf                   -                   -                   1     3598572839.2551     3598572839.2551              1.0000          0.0000e+00             45.2495          1.7339e-02
 22                            Ele1_Pt             50.0000                +inf                   -                   -                   1     3598572839.2551     3590679392.2838              0.9978          1.0651e-02             45.1503          1.7322e-02
 23                           Ele1_Eta                -inf                +inf                   -                   -                   1     3590679392.2838     3590679392.2838              1.0000          0.0000e+00             45.1503          1.7322e-02
 24                           Ele1_Phi                -inf                +inf                   -                   -                   1     3590679392.2838     3590679392.2838              1.0000          0.0000e+00             45.1503          1.7322e-02
 25                            Ele2_Pt             50.0000                +inf                   -                   -                   1     3590679392.2838     2152210732.6357              0.5994              0.1122             27.0625          1.3632e-02
 26                           Ele2_Eta                -inf                +inf                   -                   -                   1     2152210732.6357     2152210732.6357              1.0000          0.0000e+00             27.0625          1.3632e-02
