################################## JSON file used at runtime    ###################################################################
### certifiedGolden_11mar2020_2016_2017_2018.json
################################## NO systematics used at runtime ###################################################################
################################## Preliminary Cut Values ###################################################################
########################### variableName                        value1          value2          value3          value4          level
### Preliminary cut values: produceSkim          1                 -               -               -               -1
### Preliminary cut values: eleEta_bar            	1.4442        -                    -               -               -1
### Preliminary cut values: eleEta_end1            	1.566        2.0                  -               -               -1
### Preliminary cut values: eleEta_end2            	2.000        2.5                  -               -               -1
### Preliminary cut values: QCDFakeRateFileName		/afs/cern.ch/user/s/scooper/work/public/Leptoquarks/qcd_fake_rate/2016/FR2D2JetReminiAOD23_10.root	- - - -1
### Preliminary cut values: TriggerSFFileName   egammaEffi.txt_EGM2D.root  - - - -1
### Preliminary cut values: RecoSFFileName /afs/cern.ch/user/s/scooper/work/public/Leptoquarks/egammaRecoSF/2018/egammaEffi.txt_EGM2D_updatedAll.root  - - - -1
### Preliminary cut values: AnalysisYear   2018  - - - -1
### Preliminary cut values: BTagAlgo       DeepJet  - - - -1
### Preliminary cut values: BTagWP         Medium   - - - -1
### Preliminary cut values: BTagCutValue   0.2770   - - - -1
################################## Cuts #########################################################################################################################################################################################################################
#id                       variableName                min1                max1                min2                max2               level                   N               Npass              EffRel           errEffRel              EffAbs           errEffAbs
  1                             NoCuts                   -                   -                   -                   -                  -1      147827904.0000      147827904.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  2                           PassJSON                   -                   -                   -                   -                  -1      147827904.0000      143781609.0000              0.9726          1.3420e-05              0.9726          1.3420e-05
  3                         nEle_ptCut                   -                   -                   -                   -                  -1      143781609.0000        1869657.0000          1.3003e-02          9.4479e-06          1.2648e-02          9.1910e-06
  4                            Ele1_Pt                   -                   -                   -                   -                  -1        1869657.0000        1869657.0000              1.0000          0.0000e+00          1.2648e-02          9.1910e-06
  5                        PassTrigger                   -                   -                   -                   -                  -1        1869657.0000        1814692.0000              0.9706          1.2354e-04          1.2276e-02          9.0566e-06
  6                        Reweighting              0.0000              1.0000                   -                   -                   0        1814692.0000        1814692.0000              1.0000          0.0000e+00          1.2276e-02          9.0566e-06
  7                        PassLHECuts              0.0000              1.0000                   -                   -                   0        1814692.0000        1814692.0000              1.0000          0.0000e+00          1.2276e-02          9.0566e-06
  8                           PassJSON              0.0000              1.0000                   -                   -                   0        1814692.0000        1814692.0000              1.0000          0.0000e+00          1.2276e-02          9.0566e-06
  9                            PassHLT              0.0000              1.0000                   -                   -                   0        1814692.0000        1814692.0000              1.0000          0.0000e+00          1.2276e-02          9.0566e-06
 10 PassGlobalSuperTightHalo2016Filter              0.0000              1.0000                   -                   -                   0        1814692.0000        1814676.0000              1.0000          2.2042e-06          1.2276e-02          9.0565e-06
 11                   PassGoodVertices              0.0000              1.0000                   -                   -                   0        1814676.0000        1814676.0000              1.0000          0.0000e+00          1.2276e-02          9.0565e-06
 12                PassHBHENoiseFilter              0.0000              1.0000                   -                   -                   0        1814676.0000        1814595.0000              1.0000          4.9595e-06          1.2275e-02          9.0563e-06
 13             PassHBHENoiseIsoFilter              0.0000              1.0000                   -                   -                   0        1814595.0000        1814447.0000              0.9999          6.7040e-06          1.2274e-02          9.0559e-06
 14        PassBadEESupercrystalFilter              0.0000              1.0000                   -                   -                   0        1814447.0000        1814447.0000              1.0000          0.0000e+00          1.2274e-02          9.0559e-06
 15           PassEcalDeadCellTrigPrim              0.0000              1.0000                   -                   -                   0        1814447.0000        1814442.0000              1.0000          1.2324e-06          1.2274e-02          9.0559e-06
 16                PassBadPFMuonFilter              0.0000              1.0000                   -                   -                   0        1814442.0000        1814403.0000              1.0000          3.4418e-06          1.2274e-02          9.0558e-06
 17             PassEcalBadCalibFilter              0.0000              1.0000                   -                   -                   0        1814403.0000        1814390.0000              1.0000          1.9872e-06          1.2274e-02          9.0558e-06
 18                           PassNEle              0.0000              1.0000                   -                   -                   1        1814390.0000        1814390.0000              1.0000          0.0000e+00          1.2274e-02          9.0558e-06
 19                          PassNMuon              0.0000              1.0000                   -                   -                   1        1814390.0000        1813980.0000              0.9998          1.1159e-05          1.2271e-02          9.0548e-06
 20                    nEle_hltMatched                -inf                +inf                   -                   -                   1        1813980.0000        1813980.0000              1.0000          0.0000e+00          1.2271e-02          9.0548e-06
 21                    nJet_hltMatched                -inf                +inf                   -                   -                   1        1813980.0000        1813980.0000              1.0000          0.0000e+00          1.2271e-02          9.0548e-06
 22                            Ele1_Pt             50.0000                +inf                   -                   -                   1        1813980.0000         583097.0000              0.3214          3.4676e-04          3.9444e-03          5.1553e-06
 23                           Ele1_Eta                -inf                +inf                   -                   -                   1         583097.0000         583097.0000              1.0000          0.0000e+00          3.9444e-03          5.1553e-06
 24                           Ele1_Phi                -inf                +inf                   -                   -                   1         583097.0000         583097.0000              1.0000          0.0000e+00          3.9444e-03          5.1553e-06
 25                            Ele2_Pt             50.0000                +inf                   -                   -                   1         583097.0000         107422.0000              0.1842          5.0768e-04          7.2667e-04          2.2163e-06
 26                           Ele2_Eta                -inf                +inf                   -                   -                   1         107422.0000         107422.0000              1.0000          0.0000e+00          7.2667e-04          2.2163e-06
 27                           Ele2_Phi                -inf                +inf                   -                   -                   1         107422.0000         107422.0000              1.0000          0.0000e+00          7.2667e-04          2.2163e-06
 28                               nJet                -inf                +inf                   -                   -                   1         107422.0000         107422.0000              1.0000          0.0000e+00          7.2667e-04          2.2163e-06
