################################## JSON file used at runtime    ###################################################################
### certifiedGolden_11mar2020_2016_2017_2018.json
################################## NO systematics used at runtime ###################################################################
################################## Preliminary Cut Values ###################################################################
########################### variableName                        value1          value2          value3          value4          level
### Preliminary cut values: produceSkim          1                 -               -               -               -1
### Preliminary cut values: eleEta_bar            	1.4442        -                    -               -               -1
### Preliminary cut values: eleEta_end1            	1.566        2.0                  -               -               -1
### Preliminary cut values: eleEta_end2            	2.000        2.5                  -               -               -1
### Preliminary cut values: QCDFakeRateFileName		/afs/cern.ch/user/s/scooper/work/public/Leptoquarks/qcd_fake_rate/2016/FR2D2JetReminiAOD23_10.root	- - - -1
### Preliminary cut values: TriggerSFFileName   egammaEffi.txt_EGM2D.root  - - - -1
### Preliminary cut values: RecoSFFileName /afs/cern.ch/user/s/scooper/work/public/Leptoquarks/egammaRecoSF/2018/egammaEffi.txt_EGM2D_updatedAll.root  - - - -1
### Preliminary cut values: AnalysisYear   2018  - - - -1
### Preliminary cut values: BTagAlgo       DeepJet  - - - -1
### Preliminary cut values: BTagWP         Medium   - - - -1
### Preliminary cut values: BTagCutValue   0.2770   - - - -1
################################## Cuts #########################################################################################################################################################################################################################
#id                       variableName                min1                max1                min2                max2               level                   N               Npass              EffRel           errEffRel              EffAbs           errEffAbs
  1                             NoCuts                   -                   -                   -                   -                  -1         100000.0000         100000.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  2                           PassJSON                   -                   -                   -                   -                  -1         100000.0000         100000.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  3                         nEle_ptCut                   -                   -                   -                   -                  -1         100000.0000          62750.0000              0.6275          1.5289e-03              0.6275          1.5289e-03
  4                            Ele1_Pt                   -                   -                   -                   -                  -1          62750.0000          62750.0000              1.0000          0.0000e+00              0.6275          1.5289e-03
  5                        PassTrigger                   -                   -                   -                   -                  -1          62750.0000          62750.0000              1.0000          0.0000e+00              0.6275          1.5289e-03
  6                        Reweighting              0.0000              1.0000                   -                   -                   0          62750.0000              0.2600          4.1440e-06          0.0000e+00          2.6003e-06          6.3356e-09
  7                        PassLHECuts              0.0000              1.0000                   -                   -                   0              0.2600              0.2600              1.0000          0.0000e+00          2.6003e-06          6.3356e-09
  8                           PassJSON              0.0000              1.0000                   -                   -                   0              0.2600              0.2600              1.0000          0.0000e+00          2.6003e-06          6.3356e-09
  9                            PassHLT              0.0000              1.0000                   -                   -                   0              0.2600              0.2600              1.0000          0.0000e+00          2.6003e-06          6.3356e-09
 10 PassGlobalSuperTightHalo2016Filter              0.0000              1.0000                   -                   -                   0              0.2600              0.2600              1.0000          6.6039e-11          2.6003e-06          6.3356e-09
 11                   PassGoodVertices              0.0000              1.0000                   -                   -                   0              0.2600              0.2600              1.0000          0.0000e+00          2.6003e-06          6.3356e-09
 12                PassHBHENoiseFilter              0.0000              1.0000                   -                   -                   0              0.2600              0.2600              1.0000          0.0000e+00          2.6003e-06          6.3356e-09
 13             PassHBHENoiseIsoFilter              0.0000              1.0000                   -                   -                   0              0.2600              0.2600              0.9998          2.0882e-10          2.5999e-06          6.3359e-09
 14        PassBadEESupercrystalFilter              0.0000              1.0000                   -                   -                   0              0.2600              0.2600              1.0000          0.0000e+00          2.5999e-06          6.3359e-09
 15           PassEcalDeadCellTrigPrim              0.0000              1.0000                   -                   -                   0              0.2600              0.2556              0.9833          2.1203e-09          2.5565e-06          6.3706e-09
 16                PassBadPFMuonFilter              0.0000              1.0000                   -                   -                   0              0.2556              0.2554              0.9991          4.8882e-10          2.5543e-06          6.3722e-09
 17             PassEcalBadCalibFilter              0.0000              1.0000                   -                   -                   0              0.2554              0.2554              0.9999          1.7787e-10          2.5540e-06          6.3725e-09
 18                           PassNEle              0.0000              1.0000                   -                   -                   1              0.2554              0.2554              1.0000          0.0000e+00          2.5540e-06          6.3725e-09
 19                          PassNMuon              0.0000              1.0000                   -                   -                   1              0.2554              0.2550              0.9985          6.4093e-10          2.5502e-06          6.3752e-09
 20                    nEle_hltMatched                -inf                +inf                   -                   -                   1              0.2550              0.2550              1.0000          0.0000e+00          2.5502e-06          6.3752e-09
 21                    nJet_hltMatched                -inf                +inf                   -                   -                   1              0.2550              0.2550              1.0000          0.0000e+00          2.5502e-06          6.3752e-09
 22                            Ele1_Pt             50.0000                +inf                   -                   -                   1              0.2550              0.2550              1.0000          0.0000e+00          2.5502e-06          6.3752e-09
 23                           Ele1_Eta                -inf                +inf                   -                   -                   1              0.2550              0.2550              1.0000          0.0000e+00          2.5502e-06          6.3752e-09
 24                           Ele1_Phi                -inf                +inf                   -                   -                   1              0.2550              0.2550              1.0000          0.0000e+00          2.5502e-06          6.3752e-09
 25                            Ele2_Pt             50.0000                +inf                   -                   -                   1              0.2550              0.2550              0.9998          2.1292e-10          2.5498e-06          6.3756e-09
 26                           Ele2_Eta                -inf                +inf                   -                   -                   1              0.2550              0.2550              1.0000          0.0000e+00          2.5498e-06          6.3756e-09
 27                           Ele2_Phi                -inf                +inf                   -                   -                   1              0.2550              0.2550              1.0000          0.0000e+00          2.5498e-06          6.3756e-09
 28                               nJet                -inf                +inf                   -                   -                   1              0.2550              0.2550              1.0000          0.0000e+00          2.5498e-06          6.3756e-09
 29                            Jet1_Pt             50.0000                +inf                   -                   -                   1              0.2550              0.2550              0.9999          1.3469e-10          2.5496e-06          6.3757e-09
 30                           Jet1_Eta             -2.4000              2.4000                   -                   -                   1              0.2550              0.2550              1.0000          0.0000e+00          2.5496e-06          6.3757e-09
 31                           Jet1_Phi                -inf                +inf                   -                   -                   1              0.2550              0.2550              1.0000          0.0000e+00          2.5496e-06          6.3757e-09
 32                            Jet2_Pt             50.0000                +inf                   -                   -                   1              0.2550              0.2508              0.9836          2.1250e-09          2.5077e-06          6.4058e-09
 33                           Jet2_Eta                -inf             -1.3000                   -                   -                   1              0.2508          2.4003e-02          9.5718e-02          4.9539e-09          2.4003e-07          3.0599e-09
 34                           Jet2_Phi             -1.5700             -0.8700                   -                   -                   1          2.4003e-02          2.6204e-03              0.1092          1.6927e-08          2.6204e-08          1.0366e-09
 35                            Jet3_Pt                -inf                +inf                   -                   -                   1          2.6204e-03          2.6204e-03              1.0000          0.0000e+00          2.6204e-08          1.0366e-09
 36                           Jet3_Eta             -2.4000              2.4000                   -                   -                   1          2.6204e-03          2.6204e-03              1.0000          0.0000e+00          2.6204e-08          1.0366e-09
 37                           Jet3_Phi                -inf                +inf                   -                   -                   1          2.6204e-03          2.6204e-03              1.0000          0.0000e+00          2.6204e-08          1.0366e-09
 38                        DR_Ele1Jet1                -inf                +inf                   -                   -                   1          2.6204e-03          2.6204e-03              1.0000          0.0000e+00          2.6204e-08          1.0366e-09
 39                        DR_Ele1Jet2                -inf                +inf                   -                   -                   1          2.6204e-03          2.6204e-03              1.0000          0.0000e+00          2.6204e-08          1.0366e-09
 40                        DR_Ele2Jet1                -inf                +inf                   -                   -                   1          2.6204e-03          2.6204e-03              1.0000          0.0000e+00          2.6204e-08          1.0366e-09
 41                        DR_Ele2Jet2                -inf                +inf                   -                   -                   1          2.6204e-03          2.6204e-03              1.0000          0.0000e+00          2.6204e-08          1.0366e-09
 42                        DR_Jet1Jet2                -inf                +inf                   -                   -                   1          2.6204e-03          2.6204e-03              1.0000          0.0000e+00          2.6204e-08          1.0366e-09
 43                            sT_eejj            300.0000                +inf                   -                   -                   1          2.6204e-03          2.6204e-03              1.0000          0.0000e+00          2.6204e-08          1.0366e-09
 44                      sT_eejj_bkgCR            300.0000                +inf                   -                   -                   1          2.6204e-03          2.6204e-03              1.0000          0.0000e+00          2.6204e-08          1.0366e-09
 45                            Pt_e1e2             70.0000                +inf                   -                   -                   1          2.6204e-03          2.6125e-03              0.9970          9.1772e-09          2.6125e-08          1.0351e-09
 46                             M_e1e2             50.0000                +inf                   -                   -                   1          2.6125e-03          2.6125e-03              1.0000          0.0000e+00          2.6125e-08          1.0351e-09
 47                       M_e1e2_bkgCR             50.0000                +inf                   -                   -                   1          2.6125e-03          2.6125e-03              1.0000          0.0000e+00          2.6125e-08          1.0351e-09
 48                       preselection                -inf                +inf                   -                   -                   2          2.6125e-03          2.6125e-03              1.0000          0.0000e+00          2.6125e-08          1.0351e-09
 49                        sT_eejj_opt                -inf                +inf                   -                   -                   1          2.6125e-03          0.0000e+00          0.0000e+00                -nan          0.0000e+00                -nan
 50                         M_e1e2_opt                -inf                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 51                        Mej_min_opt                -inf                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 52                      sT_eejj_LQ300            475.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 53                       M_e1e2_LQ300            225.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 54                     min_M_ej_LQ300            235.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 55                      sT_eejj_LQ400            625.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 56                       M_e1e2_LQ400            235.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 57                     min_M_ej_LQ400            330.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 58                      sT_eejj_LQ500            770.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 59                       M_e1e2_LQ500            250.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 60                     min_M_ej_LQ500            420.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
