################################## JSON file used at runtime    ###################################################################
### certifiedGolden_11mar2020_2016_2017_2018.json
################################## NO systematics used at runtime ###################################################################
################################## Preliminary Cut Values ###################################################################
########################### variableName                        value1          value2          value3          value4          level
### Preliminary cut values: produceSkim          1                 -               -               -               -1
### Preliminary cut values: eleEta_bar            	1.4442        -                    -               -               -1
### Preliminary cut values: eleEta_end1            	1.566        2.0                  -               -               -1
### Preliminary cut values: eleEta_end2            	2.000        2.5                  -               -               -1
### Preliminary cut values: QCDFakeRateFileName		/afs/cern.ch/user/s/scooper/work/public/Leptoquarks/qcd_fake_rate/2016/FR2D2JetReminiAOD23_10.root	- - - -1
### Preliminary cut values: TriggerSFFileName   egammaEffi.txt_EGM2D.root  - - - -1
### Preliminary cut values: RecoSFFileName /afs/cern.ch/user/s/scooper/work/public/Leptoquarks/egammaRecoSF/2018/egammaEffi.txt_EGM2D_updatedAll.root  - - - -1
### Preliminary cut values: AnalysisYear   2018  - - - -1
### Preliminary cut values: BTagAlgo       DeepJet  - - - -1
### Preliminary cut values: BTagWP         Medium   - - - -1
### Preliminary cut values: BTagCutValue   0.2770   - - - -1
################################## Cuts #########################################################################################################################################################################################################################
#id                       variableName                min1                max1                min2                max2               level                   N               Npass              EffRel           errEffRel              EffAbs           errEffAbs
  1                             NoCuts                   -                   -                   -                   -                  -1       19365999.0000       19365999.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  2                           PassJSON                   -                   -                   -                   -                  -1       19365999.0000       19365999.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  3                         nEle_ptCut                   -                   -                   -                   -                  -1       19365999.0000            888.0000          4.5854e-05          1.5387e-06          4.5854e-05          1.5387e-06
  4                            Ele1_Pt                   -                   -                   -                   -                  -1            888.0000            888.0000              1.0000          0.0000e+00          4.5854e-05          1.5387e-06
  5                        PassTrigger                   -                   -                   -                   -                  -1            888.0000            811.0000              0.9133          9.4436e-03          4.1878e-05          1.4705e-06
  6                        Reweighting              0.0000              1.0000                   -                   -                   0            811.0000           2852.1088              3.5168          0.0000e+00          1.4727e-04          5.1714e-06
  7                        PassLHECuts              0.0000              1.0000                   -                   -                   0           2852.1088           2852.1088              1.0000          0.0000e+00          1.4727e-04          5.1714e-06
  8                           PassJSON              0.0000              1.0000                   -                   -                   0           2852.1088           2852.1088              1.0000          0.0000e+00          1.4727e-04          5.1714e-06
  9                            PassHLT              0.0000              1.0000                   -                   -                   0           2852.1088           2852.1088              1.0000          0.0000e+00          1.4727e-04          5.1714e-06
 10 PassGlobalSuperTightHalo2016Filter              0.0000              1.0000                   -                   -                   0           2852.1088           2852.1088              1.0000          0.0000e+00          1.4727e-04          5.1714e-06
 11                   PassGoodVertices              0.0000              1.0000                   -                   -                   0           2852.1088           2852.1088              1.0000          0.0000e+00          1.4727e-04          5.1714e-06
 12                PassHBHENoiseFilter              0.0000              1.0000                   -                   -                   0           2852.1088           2852.1088              1.0000          0.0000e+00          1.4727e-04          5.1714e-06
 13             PassHBHENoiseIsoFilter              0.0000              1.0000                   -                   -                   0           2852.1088           2852.1088              1.0000          0.0000e+00          1.4727e-04          5.1714e-06
 14        PassBadEESupercrystalFilter              0.0000              1.0000                   -                   -                   0           2852.1088           2852.1088              1.0000          0.0000e+00          1.4727e-04          5.1714e-06
 15           PassEcalDeadCellTrigPrim              0.0000              1.0000                   -                   -                   0           2852.1088           2852.1088              1.0000          0.0000e+00          1.4727e-04          5.1714e-06
