################################## JSON file used at runtime    ###################################################################
### certifiedGolden_11mar2020_2016_2017_2018.json
################################## NO systematics used at runtime ###################################################################
################################## Preliminary Cut Values ###################################################################
########################### variableName                        value1          value2          value3          value4          level
### Preliminary cut values: produceSkim          1                 -               -               -               -1
### Preliminary cut values: eleEta_bar            	1.4442        -                    -               -               -1
### Preliminary cut values: eleEta_end1            	1.566        2.0                  -               -               -1
### Preliminary cut values: eleEta_end2            	2.000        2.5                  -               -               -1
### Preliminary cut values: QCDFakeRateFileName		/afs/cern.ch/user/s/scooper/work/public/Leptoquarks/qcd_fake_rate/2016/FR2D2JetReminiAOD23_10.root	- - - -1
### Preliminary cut values: TriggerSFFileName   egammaEffi.txt_EGM2D.root  - - - -1
### Preliminary cut values: RecoSFFileName /afs/cern.ch/user/s/scooper/work/public/Leptoquarks/egammaRecoSF/2018/egammaEffi.txt_EGM2D_updatedAll.root  - - - -1
### Preliminary cut values: AnalysisYear   2018  - - - -1
### Preliminary cut values: BTagAlgo       DeepJet  - - - -1
### Preliminary cut values: BTagWP         Medium   - - - -1
### Preliminary cut values: BTagCutValue   0.2770   - - - -1
################################## Cuts #########################################################################################################################################################################################################################
#id                       variableName                min1                max1                min2                max2               level                   N               Npass              EffRel           errEffRel              EffAbs           errEffAbs
  1                             NoCuts                   -                   -                   -                   -                  -1      238513000.0000      238513000.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  2                           PassJSON                   -                   -                   -                   -                  -1      238513000.0000      238513000.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  3                         nEle_ptCut                   -                   -                   -                   -                  -1      238513000.0000           7995.0000          3.3520e-05          3.7488e-07          3.3520e-05          3.7488e-07
  4                            Ele1_Pt                   -                   -                   -                   -                  -1           7995.0000           7995.0000              1.0000          0.0000e+00          3.3520e-05          3.7488e-07
  5                        PassTrigger                   -                   -                   -                   -                  -1           7995.0000           7331.0000              0.9169          3.0863e-03          3.0736e-05          3.5897e-07
  6                        Reweighting              0.0000              1.0000                   -                   -                   0           7331.0000   185192057079.2461       25261500.0790          0.0000e+00            776.4443              9.0682
  7                        PassLHECuts              0.0000              1.0000                   -                   -                   0   185192057079.2461   185192057079.2461              1.0000          0.0000e+00            776.4443              9.0682
  8                           PassJSON              0.0000              1.0000                   -                   -                   0   185192057079.2461   185192057079.2461              1.0000          0.0000e+00            776.4443              9.0682
  9                            PassHLT              0.0000              1.0000                   -                   -                   0   185192057079.2461   185192057079.2461              1.0000          0.0000e+00            776.4443              9.0682
 10 PassGlobalSuperTightHalo2016Filter              0.0000              1.0000                   -                   -                   0   185192057079.2461   185192057079.2461              1.0000          0.0000e+00            776.4443              9.0682
 11                   PassGoodVertices              0.0000              1.0000                   -                   -                   0   185192057079.2461   185192057079.2461              1.0000          0.0000e+00            776.4443              9.0682
 12                PassHBHENoiseFilter              0.0000              1.0000                   -                   -                   0   185192057079.2461   185192057079.2461              1.0000          0.0000e+00            776.4443              9.0682
 13             PassHBHENoiseIsoFilter              0.0000              1.0000                   -                   -                   0   185192057079.2461   185192057079.2461              1.0000          0.0000e+00            776.4443              9.0682
 14        PassBadEESupercrystalFilter              0.0000              1.0000                   -                   -                   0   185192057079.2461   185192057079.2461              1.0000          0.0000e+00            776.4443              9.0682
 15           PassEcalDeadCellTrigPrim              0.0000              1.0000                   -                   -                   0   185192057079.2461   185183929295.9336              1.0000           6893.2712            776.4102              9.0703
 16                PassBadPFMuonFilter              0.0000              1.0000                   -                   -                   0   185183929295.9336   185117379639.9336              0.9996           3448.4541            776.1312              9.0677
 17             PassEcalBadCalibFilter              0.0000              1.0000                   -                   -                   0   185117379639.9336   185095380595.9336              0.9999           3448.9857            776.0390              9.0672
