################################## JSON file used at runtime    ###################################################################
### certifiedGolden_11mar2020_2016_2017_2018.json
################################## NO systematics used at runtime ###################################################################
################################## Preliminary Cut Values ###################################################################
########################### variableName                        value1          value2          value3          value4          level
### Preliminary cut values: produceSkim          1                 -               -               -               -1
### Preliminary cut values: eleEta_bar            	1.4442        -                    -               -               -1
### Preliminary cut values: eleEta_end1            	1.566        2.0                  -               -               -1
### Preliminary cut values: eleEta_end2            	2.000        2.5                  -               -               -1
### Preliminary cut values: QCDFakeRateFileName		/afs/cern.ch/user/s/scooper/work/public/Leptoquarks/qcd_fake_rate/2016/FR2D2JetReminiAOD23_10.root	- - - -1
### Preliminary cut values: TriggerSFFileName   egammaEffi.txt_EGM2D.root  - - - -1
### Preliminary cut values: RecoSFFileName /afs/cern.ch/user/s/scooper/work/public/Leptoquarks/egammaRecoSF/2018/egammaEffi.txt_EGM2D_updatedAll.root  - - - -1
### Preliminary cut values: AnalysisYear   2018  - - - -1
### Preliminary cut values: BTagAlgo       DeepJet  - - - -1
### Preliminary cut values: BTagWP         Medium   - - - -1
### Preliminary cut values: BTagCutValue   0.2770   - - - -1
################################## Cuts #########################################################################################################################################################################################################################
#id                       variableName                min1                max1                min2                max2               level                   N               Npass              EffRel           errEffRel              EffAbs           errEffAbs
  1                             NoCuts                   -                   -                   -                   -                  -1       28576996.0000       28576996.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  2                           PassJSON                   -                   -                   -                   -                  -1       28576996.0000       28576996.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  3                         nEle_ptCut                   -                   -                   -                   -                  -1       28576996.0000         991134.0000          3.4683e-02          3.4228e-05          3.4683e-02          3.4228e-05
  4                            Ele1_Pt                   -                   -                   -                   -                  -1         991134.0000         991134.0000              1.0000          0.0000e+00          3.4683e-02          3.4228e-05
  5                        PassTrigger                   -                   -                   -                   -                  -1         991134.0000         974495.0000              0.9832          1.2905e-04          3.4101e-02          3.3950e-05
  6                        Reweighting              0.0000              1.0000                   -                   -                   0         974495.0000        8160339.6419              8.3739          0.0000e+00              0.2856          2.8429e-04
  7                        PassLHECuts              0.0000              1.0000                   -                   -                   0        8160339.6419        8160339.6419              1.0000          0.0000e+00              0.2856          2.8429e-04
  8                           PassJSON              0.0000              1.0000                   -                   -                   0        8160339.6419        8160339.6419              1.0000          0.0000e+00              0.2856          2.8429e-04
  9                            PassHLT              0.0000              1.0000                   -                   -                   0        8160339.6419        8160339.6419              1.0000          0.0000e+00              0.2856          2.8429e-04
 10 PassGlobalSuperTightHalo2016Filter              0.0000              1.0000                   -                   -                   0        8160339.6419        8160021.3493              1.0000          5.7643e-05              0.2855          2.8429e-04
 11                   PassGoodVertices              0.0000              1.0000                   -                   -                   0        8160021.3493        8160021.3493              1.0000          0.0000e+00              0.2855          2.8429e-04
 12                PassHBHENoiseFilter              0.0000              1.0000                   -                   -                   0        8160021.3493        8159890.0142              1.0000          2.5780e-05              0.2855          2.8429e-04
 13             PassHBHENoiseIsoFilter              0.0000              1.0000                   -                   -                   0        8159890.0142        8157785.2675              0.9997          1.4040e-04              0.2855          2.8425e-04
 14        PassBadEESupercrystalFilter              0.0000              1.0000                   -                   -                   0        8157785.2675        8157785.2675              1.0000          0.0000e+00              0.2855          2.8425e-04
 15           PassEcalDeadCellTrigPrim              0.0000              1.0000                   -                   -                   0        8157785.2675        8156616.7473              0.9999          9.5714e-05              0.2854          2.8423e-04
 16                PassBadPFMuonFilter              0.0000              1.0000                   -                   -                   0        8156616.7473        8156436.3542              1.0000          3.8447e-05              0.2854          2.8423e-04
 17             PassEcalBadCalibFilter              0.0000              1.0000                   -                   -                   0        8156436.3542        8156005.3347              0.9999          6.6035e-05              0.2854          2.8422e-04
 18                           PassNEle              0.0000              1.0000                   -                   -                   1        8156005.3347        8156005.3347              1.0000          0.0000e+00              0.2854          2.8422e-04
 19                          PassNMuon              0.0000              1.0000                   -                   -                   1        8156005.3347        8152838.7446              0.9996          1.6059e-04              0.2853          2.8416e-04
 20                    nEle_hltMatched                -inf                +inf                   -                   -                   1        8152838.7446        8152838.7446              1.0000          0.0000e+00              0.2853          2.8416e-04
 21                    nJet_hltMatched                -inf                +inf                   -                   -                   1        8152838.7446        8152838.7446              1.0000          0.0000e+00              0.2853          2.8416e-04
