################################## JSON file used at runtime    ###################################################################
### certifiedGolden_11mar2020_2016_2017_2018.json
################################## NO systematics used at runtime ###################################################################
################################## Preliminary Cut Values ###################################################################
########################### variableName                        value1          value2          value3          value4          level
### Preliminary cut values: produceSkim          1                 -               -               -               -1
### Preliminary cut values: eleEta_bar            	1.4442        -                    -               -               -1
### Preliminary cut values: eleEta_end1            	1.566        2.0                  -               -               -1
### Preliminary cut values: eleEta_end2            	2.000        2.5                  -               -               -1
### Preliminary cut values: QCDFakeRateFileName		/afs/cern.ch/user/s/scooper/work/public/Leptoquarks/qcd_fake_rate/2016/FR2D2JetReminiAOD23_10.root	- - - -1
### Preliminary cut values: TriggerSFFileName   egammaEffi.txt_EGM2D.root  - - - -1
### Preliminary cut values: RecoSFFileName /afs/cern.ch/user/s/scooper/work/public/Leptoquarks/egammaRecoSF/2018/egammaEffi.txt_EGM2D_updatedAll.root  - - - -1
### Preliminary cut values: AnalysisYear   2018  - - - -1
### Preliminary cut values: BTagAlgo       DeepJet  - - - -1
### Preliminary cut values: BTagWP         Medium   - - - -1
### Preliminary cut values: BTagCutValue   0.2770   - - - -1
################################## Cuts #########################################################################################################################################################################################################################
#id                       variableName                min1                max1                min2                max2               level                   N               Npass              EffRel           errEffRel              EffAbs           errEffAbs
  1                             NoCuts                   -                   -                   -                   -                  -1        9821283.0000        9821283.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  2                           PassJSON                   -                   -                   -                   -                  -1        9821283.0000        9821283.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  3                         nEle_ptCut                   -                   -                   -                   -                  -1        9821283.0000         319361.0000          3.2517e-02          5.6597e-05          3.2517e-02          5.6597e-05
  4                            Ele1_Pt                   -                   -                   -                   -                  -1         319361.0000         319360.0000              1.0000          3.1312e-06          3.2517e-02          5.6597e-05
  5                        PassTrigger                   -                   -                   -                   -                  -1         319360.0000         314744.0000              0.9855          2.1120e-04          3.2047e-02          5.6200e-05
  6                        Reweighting              0.0000              1.0000                   -                   -                   0         314744.0000        2202087.4670              6.9964          0.0000e+00              0.2242          3.9320e-04
  7                        PassLHECuts              0.0000              1.0000                   -                   -                   0        2202087.4670        2202087.4670              1.0000          0.0000e+00              0.2242          3.9320e-04
  8                           PassJSON              0.0000              1.0000                   -                   -                   0        2202087.4670        2202087.4670              1.0000          0.0000e+00              0.2242          3.9320e-04
  9                            PassHLT              0.0000              1.0000                   -                   -                   0        2202087.4670        2202087.4670              1.0000          0.0000e+00              0.2242          3.9320e-04
 10 PassGlobalSuperTightHalo2016Filter              0.0000              1.0000                   -                   -                   0        2202087.4670        2202017.8412              1.0000          8.3172e-05              0.2242          3.9320e-04
