################################## JSON file used at runtime    ###################################################################
### certifiedGolden_11mar2020_2016_2017_2018.json
################################## NO systematics used at runtime ###################################################################
################################## Preliminary Cut Values ###################################################################
########################### variableName                        value1          value2          value3          value4          level
### Preliminary cut values: produceSkim          1                 -               -               -               -1
### Preliminary cut values: eleEta_bar            	1.4442        -                    -               -               -1
### Preliminary cut values: eleEta_end1            	1.566        2.0                  -               -               -1
### Preliminary cut values: eleEta_end2            	2.000        2.5                  -               -               -1
### Preliminary cut values: QCDFakeRateFileName		/afs/cern.ch/user/s/scooper/work/public/Leptoquarks/qcd_fake_rate/2016/FR2D2JetReminiAOD23_10.root	- - - -1
### Preliminary cut values: TriggerSFFileName   egammaEffi.txt_EGM2D.root  - - - -1
### Preliminary cut values: RecoSFFileName /afs/cern.ch/user/s/scooper/work/public/Leptoquarks/egammaRecoSF/2018/egammaEffi.txt_EGM2D_updatedAll.root  - - - -1
### Preliminary cut values: AnalysisYear   2018  - - - -1
### Preliminary cut values: BTagAlgo       DeepJet  - - - -1
### Preliminary cut values: BTagWP         Medium   - - - -1
### Preliminary cut values: BTagCutValue   0.2770   - - - -1
################################## Cuts #########################################################################################################################################################################################################################
#id                       variableName                min1                max1                min2                max2               level                   N               Npass              EffRel           errEffRel              EffAbs           errEffAbs
  1                             NoCuts                   -                   -                   -                   -                  -1       29357938.0000       29357938.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  2                           PassJSON                   -                   -                   -                   -                  -1       29357938.0000       29357938.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  3                         nEle_ptCut                   -                   -                   -                   -                  -1       29357938.0000        1121036.0000          3.8185e-02          3.5370e-05          3.8185e-02          3.5370e-05
  4                            Ele1_Pt                   -                   -                   -                   -                  -1        1121036.0000        1121036.0000              1.0000          0.0000e+00          3.8185e-02          3.5370e-05
  5                        PassTrigger                   -                   -                   -                   -                  -1        1121036.0000        1100903.0000              0.9820          1.2543e-04          3.7499e-02          3.5063e-05
  6                        Reweighting              0.0000              1.0000                   -                   -                   0        1100903.0000        5349032.2312              4.8588          0.0000e+00              0.1822          1.7036e-04
  7                        PassLHECuts              0.0000              1.0000                   -                   -                   0        5349032.2312        5349032.2312              1.0000          0.0000e+00              0.1822          1.7036e-04
  8                           PassJSON              0.0000              1.0000                   -                   -                   0        5349032.2312        5349032.2312              1.0000          0.0000e+00              0.1822          1.7036e-04
  9                            PassHLT              0.0000              1.0000                   -                   -                   0        5349032.2312        5349032.2312              1.0000          0.0000e+00              0.1822          1.7036e-04
 10 PassGlobalSuperTightHalo2016Filter              0.0000              1.0000                   -                   -                   0        5349032.2312        5348701.8899              0.9999          3.1207e-05              0.1822          1.7036e-04
 11                   PassGoodVertices              0.0000              1.0000                   -                   -                   0        5348701.8899        5348701.8899              1.0000          0.0000e+00              0.1822          1.7036e-04
 12                PassHBHENoiseFilter              0.0000              1.0000                   -                   -                   0        5348701.8899        5348718.6234              1.0000          1.7654e-05              0.1822          1.7036e-04
 13             PassHBHENoiseIsoFilter              0.0000              1.0000                   -                   -                   0        5348718.6234        5347704.9885              0.9998          7.0199e-05              0.1822          1.7035e-04
 14        PassBadEESupercrystalFilter              0.0000              1.0000                   -                   -                   0        5347704.9885        5347704.9885              1.0000          0.0000e+00              0.1822          1.7035e-04
 15           PassEcalDeadCellTrigPrim              0.0000              1.0000                   -                   -                   0        5347704.9885        5347474.9131              1.0000          3.4197e-05              0.1821          1.7034e-04
 16                PassBadPFMuonFilter              0.0000              1.0000                   -                   -                   0        5347474.9131        5347320.4923              1.0000          2.2076e-05              0.1821          1.7034e-04
 17             PassEcalBadCalibFilter              0.0000              1.0000                   -                   -                   0        5347320.4923        5347080.1620              1.0000          2.9945e-05              0.1821          1.7034e-04
 18                           PassNEle              0.0000              1.0000                   -                   -                   1        5347080.1620        5347080.1620              1.0000          0.0000e+00              0.1821          1.7034e-04
 19                          PassNMuon              0.0000              1.0000                   -                   -                   1        5347080.1620        5342157.8438              0.9991          1.4605e-04              0.1820          1.7027e-04
 20                    nEle_hltMatched                -inf                +inf                   -                   -                   1        5342157.8438        5342157.8438              1.0000          0.0000e+00              0.1820          1.7027e-04
 21                    nJet_hltMatched                -inf                +inf                   -                   -                   1        5342157.8438        5342157.8438              1.0000          0.0000e+00              0.1820          1.7027e-04
 22                            Ele1_Pt             50.0000                +inf                   -                   -                   1        5342157.8438        4198476.6780              0.7859          1.7846e-03              0.1430          1.4957e-04
 23                           Ele1_Eta                -inf                +inf                   -                   -                   1        4198476.6780        4198476.6780              1.0000          0.0000e+00              0.1430          1.4957e-04
 24                           Ele1_Phi                -inf                +inf                   -                   -                   1        4198476.6780        4198476.6780              1.0000          0.0000e+00              0.1430          1.4957e-04
 25                            Ele2_Pt             50.0000                +inf                   -                   -                   1        4198476.6780        1430145.2966              0.3406          2.2487e-03          4.8714e-02          8.4894e-05
 26                           Ele2_Eta                -inf                +inf                   -                   -                   1        1430145.2966        1430145.2966              1.0000          0.0000e+00          4.8714e-02          8.4894e-05
 27                           Ele2_Phi                -inf                +inf                   -                   -                   1        1430145.2966        1430145.2966              1.0000          0.0000e+00          4.8714e-02          8.4894e-05
 28                               nJet                -inf                +inf                   -                   -                   1        1430145.2966        1430145.2966              1.0000          0.0000e+00          4.8714e-02          8.4894e-05
 29                            Jet1_Pt             50.0000                +inf                   -                   -                   1        1430145.2966        1213950.5719              0.8488          2.6036e-03          4.1350e-02          7.7631e-05
 30                           Jet1_Eta             -2.4000              2.4000                   -                   -                   1        1213950.5719        1213950.5719              1.0000          0.0000e+00          4.1350e-02          7.7631e-05
 31                           Jet1_Phi                -inf                +inf                   -                   -                   1        1213950.5719        1213950.5719              1.0000          0.0000e+00          4.1350e-02          7.7631e-05
 32                            Jet2_Pt             50.0000                +inf                   -                   -                   1        1213950.5719         556748.8922              0.4586          3.8402e-03          1.8964e-02          5.1173e-05
 33                           Jet2_Eta                -inf             -1.3000                   -                   -                   1         556748.8922          92584.6932              0.1663          4.0822e-03          3.1537e-03          2.0826e-05
 34                           Jet2_Phi             -1.5700             -0.8700                   -                   -                   1          92584.6932          10422.5444              0.1126          8.4104e-03          3.5502e-04          6.9702e-06
 35                            Jet3_Pt                -inf                +inf                   -                   -                   1          10422.5444          10422.5444              1.0000          0.0000e+00          3.5502e-04          6.9702e-06
 36                           Jet3_Eta             -2.4000              2.4000                   -                   -                   1          10422.5444          10422.5444              1.0000          0.0000e+00          3.5502e-04          6.9702e-06
 37                           Jet3_Phi                -inf                +inf                   -                   -                   1          10422.5444          10422.5444              1.0000          0.0000e+00          3.5502e-04          6.9702e-06
 38                        DR_Ele1Jet1                -inf                +inf                   -                   -                   1          10422.5444          10422.5444              1.0000          0.0000e+00          3.5502e-04          6.9702e-06
 39                        DR_Ele1Jet2                -inf                +inf                   -                   -                   1          10422.5444          10422.5444              1.0000          0.0000e+00          3.5502e-04          6.9702e-06
 40                        DR_Ele2Jet1                -inf                +inf                   -                   -                   1          10422.5444          10422.5444              1.0000          0.0000e+00          3.5502e-04          6.9702e-06
 41                        DR_Ele2Jet2                -inf                +inf                   -                   -                   1          10422.5444          10422.5444              1.0000          0.0000e+00          3.5502e-04          6.9702e-06
 42                        DR_Jet1Jet2                -inf                +inf                   -                   -                   1          10422.5444          10422.5444              1.0000          0.0000e+00          3.5502e-04          6.9702e-06
 43                            sT_eejj            300.0000                +inf                   -                   -                   1          10422.5444           8797.7126              0.8441          3.1284e-02          2.9967e-04          6.5005e-06
 44                      sT_eejj_bkgCR            300.0000                +inf                   -                   -                   1           8797.7126           8797.7126              1.0000          0.0000e+00          2.9967e-04          6.5005e-06
 45                            Pt_e1e2             70.0000                +inf                   -                   -                   1           8797.7126           8607.5346              0.9784          1.3070e-02          2.9319e-04          6.4300e-06
 46                             M_e1e2             50.0000                +inf                   -                   -                   1           8607.5346           8592.1674              0.9982          4.8764e-03          2.9267e-04          6.4278e-06
 47                       M_e1e2_bkgCR             50.0000                +inf                   -                   -                   1           8592.1674           8592.1674              1.0000          0.0000e+00          2.9267e-04          6.4278e-06
 48                       preselection                -inf                +inf                   -                   -                   2           8592.1674           8592.1674              1.0000          0.0000e+00          2.9267e-04          6.4278e-06
 49                        sT_eejj_opt                -inf                +inf                   -                   -                   1           8592.1674          0.0000e+00          0.0000e+00                -nan          0.0000e+00                -nan
 50                         M_e1e2_opt                -inf                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 51                        Mej_min_opt                -inf                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 52                      sT_eejj_LQ300            475.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 53                       M_e1e2_LQ300            225.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 54                     min_M_ej_LQ300            235.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 55                      sT_eejj_LQ400            625.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 56                       M_e1e2_LQ400            235.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 57                     min_M_ej_LQ400            330.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 58                      sT_eejj_LQ500            770.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 59                       M_e1e2_LQ500            250.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 60                     min_M_ej_LQ500            420.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 61                      sT_eejj_LQ600            905.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 62                       M_e1e2_LQ600            265.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 63                     min_M_ej_LQ600            500.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 64                      sT_eejj_LQ700           1040.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 65                       M_e1e2_LQ700            280.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
