################################## JSON file used at runtime    ###################################################################
### certifiedGolden_11mar2020_2016_2017_2018.json
################################## NO systematics used at runtime ###################################################################
################################## Preliminary Cut Values ###################################################################
########################### variableName                        value1          value2          value3          value4          level
### Preliminary cut values: produceSkim          1                 -               -               -               -1
### Preliminary cut values: eleEta_bar            	1.4442        -                    -               -               -1
### Preliminary cut values: eleEta_end1            	1.566        2.0                  -               -               -1
### Preliminary cut values: eleEta_end2            	2.000        2.5                  -               -               -1
### Preliminary cut values: QCDFakeRateFileName		/afs/cern.ch/user/s/scooper/work/public/Leptoquarks/qcd_fake_rate/2016/FR2D2JetReminiAOD23_10.root	- - - -1
### Preliminary cut values: TriggerSFFileName   egammaEffi.txt_EGM2D.root  - - - -1
### Preliminary cut values: RecoSFFileName /afs/cern.ch/user/s/scooper/work/public/Leptoquarks/egammaRecoSF/2018/egammaEffi.txt_EGM2D_updatedAll.root  - - - -1
### Preliminary cut values: AnalysisYear   2018  - - - -1
### Preliminary cut values: BTagAlgo       DeepJet  - - - -1
### Preliminary cut values: BTagWP         Medium   - - - -1
### Preliminary cut values: BTagCutValue   0.2770   - - - -1
################################## Cuts #########################################################################################################################################################################################################################
#id                       variableName                min1                max1                min2                max2               level                   N               Npass              EffRel           errEffRel              EffAbs           errEffAbs
  1                             NoCuts                   -                   -                   -                   -                  -1         100000.0000         100000.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  2                           PassJSON                   -                   -                   -                   -                  -1         100000.0000         100000.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  3                         nEle_ptCut                   -                   -                   -                   -                  -1         100000.0000          62185.0000              0.6219          1.5335e-03              0.6219          1.5335e-03
  4                            Ele1_Pt                   -                   -                   -                   -                  -1          62185.0000          62185.0000              1.0000          0.0000e+00              0.6219          1.5335e-03
  5                        PassTrigger                   -                   -                   -                   -                  -1          62185.0000          62185.0000              1.0000          0.0000e+00              0.6219          1.5335e-03
  6                        Reweighting              0.0000              1.0000                   -                   -                   0          62185.0000             35.2976          5.6762e-04          0.0000e+00          3.5298e-04          8.7043e-07
  7                        PassLHECuts              0.0000              1.0000                   -                   -                   0             35.2976             35.2976              1.0000          0.0000e+00          3.5298e-04          8.7043e-07
  8                           PassJSON              0.0000              1.0000                   -                   -                   0             35.2976             35.2976              1.0000          0.0000e+00          3.5298e-04          8.7043e-07
  9                            PassHLT              0.0000              1.0000                   -                   -                   0             35.2976             35.2976              1.0000          0.0000e+00          3.5298e-04          8.7043e-07
 10 PassGlobalSuperTightHalo2016Filter              0.0000              1.0000                   -                   -                   0             35.2976             35.2970              1.0000          9.1279e-09          3.5297e-04          8.7043e-07
 11                   PassGoodVertices              0.0000              1.0000                   -                   -                   0             35.2970             35.2970              1.0000          0.0000e+00          3.5297e-04          8.7043e-07
 12                PassHBHENoiseFilter              0.0000              1.0000                   -                   -                   0             35.2970             35.2964              1.0000          9.1280e-09          3.5296e-04          8.7044e-07
 13             PassHBHENoiseIsoFilter              0.0000              1.0000                   -                   -                   0             35.2964             35.2930              0.9999          2.2358e-08          3.5293e-04          8.7047e-07
 14        PassBadEESupercrystalFilter              0.0000              1.0000                   -                   -                   0             35.2930             35.2930              1.0000          0.0000e+00          3.5293e-04          8.7047e-07
 15           PassEcalDeadCellTrigPrim              0.0000              1.0000                   -                   -                   0             35.2930             34.9354              0.9899          2.2798e-07          3.4935e-04          8.7323e-07
 16                PassBadPFMuonFilter              0.0000              1.0000                   -                   -                   0             34.9354             34.8885              0.9987          8.3965e-08          3.4888e-04          8.7358e-07
 17             PassEcalBadCalibFilter              0.0000              1.0000                   -                   -                   0             34.8885             34.8837              0.9999          2.6119e-08          3.4884e-04          8.7361e-07
 18                           PassNEle              0.0000              1.0000                   -                   -                   1             34.8837             34.8837              1.0000          0.0000e+00          3.4884e-04          8.7361e-07
 19                          PassNMuon              0.0000              1.0000                   -                   -                   1             34.8837             34.5577              0.9907          2.2025e-07          3.4558e-04          8.7597e-07
 20                    nEle_hltMatched                -inf                +inf                   -                   -                   1             34.5577             34.5577              1.0000          0.0000e+00          3.4558e-04          8.7597e-07
 21                    nJet_hltMatched                -inf                +inf                   -                   -                   1             34.5577             34.5577              1.0000          0.0000e+00          3.4558e-04          8.7597e-07
 22                            Ele1_Pt             50.0000                +inf                   -                   -                   1             34.5577             34.5577              1.0000          0.0000e+00          3.4558e-04          8.7597e-07
 23                           Ele1_Eta                -inf                +inf                   -                   -                   1             34.5577             34.5577              1.0000          0.0000e+00          3.4558e-04          8.7597e-07
 24                           Ele1_Phi                -inf                +inf                   -                   -                   1             34.5577             34.5577              1.0000          0.0000e+00          3.4558e-04          8.7597e-07
 25                            Ele2_Pt             50.0000                +inf                   -                   -                   1             34.5577             34.5371              0.9994          5.6695e-08          3.4537e-04          8.7613e-07
 26                           Ele2_Eta                -inf                +inf                   -                   -                   1             34.5371             34.5371              1.0000          0.0000e+00          3.4537e-04          8.7613e-07
 27                           Ele2_Phi                -inf                +inf                   -                   -                   1             34.5371             34.5371              1.0000          0.0000e+00          3.4537e-04          8.7613e-07
 28                               nJet                -inf                +inf                   -                   -                   1             34.5371             34.5371              1.0000          0.0000e+00          3.4537e-04          8.7613e-07
 29                            Jet1_Pt             50.0000                +inf                   -                   -                   1             34.5371             34.5315              0.9998          2.9499e-08          3.4531e-04          8.7617e-07
 30                           Jet1_Eta             -2.4000              2.4000                   -                   -                   1             34.5315             34.5315              1.0000          0.0000e+00          3.4531e-04          8.7617e-07
 31                           Jet1_Phi                -inf                +inf                   -                   -                   1             34.5315             34.5315              1.0000          0.0000e+00          3.4531e-04          8.7617e-07
 32                            Jet2_Pt             50.0000                +inf                   -                   -                   1             34.5315             33.9100              0.9820          3.0596e-07          3.3910e-04          8.8030e-07
 33                           Jet2_Eta                -inf             -1.3000                   -                   -                   1             33.9100              3.5650              0.1051          7.1197e-07          3.5650e-05          4.3528e-07
 34                           Jet2_Phi                -inf             -1.5708             -0.8727                +inf                   1              3.5650              3.1797              0.8919          2.2257e-06          3.1797e-05          4.1268e-07
 35                            Jet3_Pt                -inf                +inf                   -                   -                   1              3.1797              3.1797              1.0000          0.0000e+00          3.1797e-05          4.1268e-07
 36                           Jet3_Eta             -2.4000              2.4000                   -                   -                   1              3.1797              3.1797              1.0000          0.0000e+00          3.1797e-05          4.1268e-07
 37                           Jet3_Phi                -inf                +inf                   -                   -                   1              3.1797              3.1797              1.0000          0.0000e+00          3.1797e-05          4.1268e-07
 38                        DR_Ele1Jet1                -inf                +inf                   -                   -                   1              3.1797              3.1797              1.0000          0.0000e+00          3.1797e-05          4.1268e-07
 39                        DR_Ele1Jet2                -inf                +inf                   -                   -                   1              3.1797              3.1797              1.0000          0.0000e+00          3.1797e-05          4.1268e-07
 40                        DR_Ele2Jet1                -inf                +inf                   -                   -                   1              3.1797              3.1797              1.0000          0.0000e+00          3.1797e-05          4.1268e-07
 41                        DR_Ele2Jet2                -inf                +inf                   -                   -                   1              3.1797              3.1797              1.0000          0.0000e+00          3.1797e-05          4.1268e-07
 42                        DR_Jet1Jet2                -inf                +inf                   -                   -                   1              3.1797              3.1797              1.0000          0.0000e+00          3.1797e-05          4.1268e-07
 43                            sT_eejj            300.0000                +inf                   -                   -                   1              3.1797              3.1797              1.0000          0.0000e+00          3.1797e-05          4.1268e-07
 44                      sT_eejj_bkgCR            300.0000                +inf                   -                   -                   1              3.1797              3.1797              1.0000          0.0000e+00          3.1797e-05          4.1268e-07
 45                            Pt_e1e2             70.0000                +inf                   -                   -                   1              3.1797              3.1671              0.9960          4.7395e-07          3.1671e-05          4.1190e-07
 46                             M_e1e2             50.0000                +inf                   -                   -                   1              3.1671              3.1671              1.0000          0.0000e+00          3.1671e-05          4.1190e-07
 47                       M_e1e2_bkgCR             50.0000                +inf                   -                   -                   1              3.1671              3.1671              1.0000          0.0000e+00          3.1671e-05          4.1190e-07
 48                       preselection                -inf                +inf                   -                   -                   2              3.1671              3.1671              1.0000          0.0000e+00          3.1671e-05          4.1190e-07
 49                        sT_eejj_opt                -inf                +inf                   -                   -                   1              3.1671          0.0000e+00          0.0000e+00                -nan          0.0000e+00                -nan
 50                         M_e1e2_opt                -inf                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 51                        Mej_min_opt                -inf                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 52                      sT_eejj_LQ300            475.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 53                       M_e1e2_LQ300            225.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 54                     min_M_ej_LQ300            235.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 55                      sT_eejj_LQ400            625.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 56                       M_e1e2_LQ400            235.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 57                     min_M_ej_LQ400            330.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 58                      sT_eejj_LQ500            770.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 59                       M_e1e2_LQ500            250.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 60                     min_M_ej_LQ500            420.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 61                      sT_eejj_LQ600            905.0000                +inf                   -                   -                   2          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
