################################## JSON file used at runtime    ###################################################################
### certifiedGolden_11mar2020_2016_2017_2018.json
################################## NO systematics used at runtime ###################################################################
################################## Preliminary Cut Values ###################################################################
########################### variableName                        value1          value2          value3          value4          level
### Preliminary cut values: produceSkim          1                 -               -               -               -1
### Preliminary cut values: eleEta_bar            	1.4442        -                    -               -               -1
### Preliminary cut values: eleEta_end1            	1.566        2.0                  -               -               -1
### Preliminary cut values: eleEta_end2            	2.000        2.5                  -               -               -1
### Preliminary cut values: QCDFakeRateFileName		/afs/cern.ch/user/s/scooper/work/public/Leptoquarks/qcd_fake_rate/2016/FR2D2JetReminiAOD23_10.root	- - - -1
### Preliminary cut values: TriggerSFFileName   egammaEffi.txt_EGM2D.root  - - - -1
### Preliminary cut values: RecoSFFileName /afs/cern.ch/user/s/scooper/work/public/Leptoquarks/egammaRecoSF/2018/egammaEffi.txt_EGM2D_updatedAll.root  - - - -1
### Preliminary cut values: AnalysisYear   2018  - - - -1
### Preliminary cut values: BTagAlgo       DeepJet  - - - -1
### Preliminary cut values: BTagWP         Medium   - - - -1
### Preliminary cut values: BTagCutValue   0.2770   - - - -1
################################## Cuts #########################################################################################################################################################################################################################
#id                       variableName                min1                max1                min2                max2               level                   N               Npass              EffRel           errEffRel              EffAbs           errEffAbs
  1                             NoCuts                   -                   -                   -                   -                  -1        1998000.0000        1998000.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  2                           PassJSON                   -                   -                   -                   -                  -1        1998000.0000        1998000.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  3                         nEle_ptCut                   -                   -                   -                   -                  -1        1998000.0000          52959.0000          2.6506e-02          1.1364e-04          2.6506e-02          1.1364e-04
  4                            Ele1_Pt                   -                   -                   -                   -                  -1          52959.0000          52959.0000              1.0000          0.0000e+00          2.6506e-02          1.1364e-04
  5                        PassTrigger                   -                   -                   -                   -                  -1          52959.0000          52174.0000              0.9852          5.2511e-04          2.6113e-02          1.1282e-04
  6                        Reweighting              0.0000              1.0000                   -                   -                   0          52174.0000         227892.8030              4.3679          0.0000e+00              0.1141          4.9279e-04
  7                        PassLHECuts              0.0000              1.0000                   -                   -                   0         227892.8030         227892.8030              1.0000          0.0000e+00              0.1141          4.9279e-04
  8                           PassJSON              0.0000              1.0000                   -                   -                   0         227892.8030         227892.8030              1.0000          0.0000e+00              0.1141          4.9279e-04
  9                            PassHLT              0.0000              1.0000                   -                   -                   0         227892.8030         227892.8030              1.0000          0.0000e+00              0.1141          4.9279e-04
 10 PassGlobalSuperTightHalo2016Filter              0.0000              1.0000                   -                   -                   0         227892.8030         227888.1417              1.0000          8.3718e-05              0.1141          4.9279e-04
 11                   PassGoodVertices              0.0000              1.0000                   -                   -                   0         227888.1417         227888.1417              1.0000          0.0000e+00              0.1141          4.9279e-04
 12                PassHBHENoiseFilter              0.0000              1.0000                   -                   -                   0         227888.1417         227888.1417              1.0000          0.0000e+00              0.1141          4.9279e-04
 13             PassHBHENoiseIsoFilter              0.0000              1.0000                   -                   -                   0         227888.1417         227874.3061              0.9999          1.4500e-04              0.1141          4.9277e-04
 14        PassBadEESupercrystalFilter              0.0000              1.0000                   -                   -                   0         227874.3061         227874.3061              1.0000          0.0000e+00              0.1141          4.9277e-04
 15           PassEcalDeadCellTrigPrim              0.0000              1.0000                   -                   -                   0         227874.3061         227804.3069              0.9997          3.3485e-04              0.1140          4.9270e-04
 16                PassBadPFMuonFilter              0.0000              1.0000                   -                   -                   0         227804.3069         227791.2463              0.9999          1.4506e-04              0.1140          4.9268e-04
 17             PassEcalBadCalibFilter              0.0000              1.0000                   -                   -                   0         227791.2463         227782.4280              1.0000          1.1845e-04              0.1140          4.9267e-04
 18                           PassNEle              0.0000              1.0000                   -                   -                   1         227782.4280         229233.8200              1.0064          0.0000e+00              0.1147          4.9581e-04
 19                          PassNMuon              0.0000              1.0000                   -                   -                   1         229233.8200         190853.7514              0.8326          7.2287e-03          9.5522e-02          4.5387e-04
 20                    nEle_hltMatched                -inf                +inf                   -                   -                   1         190853.7514         189402.3595              0.9924          0.0000e+00          9.4796e-02          4.5042e-04
 21                    nJet_hltMatched                -inf                +inf                   -                   -                   1         189402.3595         189402.3595              1.0000          0.0000e+00          9.4796e-02          4.5042e-04
 22                            Ele1_Pt             50.0000                +inf                   -                   -                   1         189402.3595         158026.4375              0.8343          8.0748e-03          7.9092e-02          4.1461e-04
 23                           Ele1_Eta                -inf                +inf                   -                   -                   1         158026.4375         158026.4375              1.0000          0.0000e+00          7.9092e-02          4.1461e-04
 24                           Ele1_Phi                -inf                +inf                   -                   -                   1         158026.4375         158026.4375              1.0000          0.0000e+00          7.9092e-02          4.1461e-04
 25                            Ele2_Pt             50.0000                +inf                   -                   -                   1         158026.4375          76170.2913              0.4820          1.1806e-02          3.8123e-02          2.9076e-04
 26                           Ele2_Eta                -inf                +inf                   -                   -                   1          76170.2913          76170.2913              1.0000          0.0000e+00          3.8123e-02          2.9076e-04
 27                           Ele2_Phi                -inf                +inf                   -                   -                   1          76170.2913          76170.2913              1.0000          0.0000e+00          3.8123e-02          2.9076e-04
 28                               nJet                -inf                +inf                   -                   -                   1          76170.2913          76170.2913              1.0000          0.0000e+00          3.8123e-02          2.9076e-04
 29                            Jet1_Pt             50.0000                +inf                   -                   -                   1          76170.2913          40783.8121              0.5354          1.7258e-02          2.0412e-02          2.1427e-04
 30                           Jet1_Eta             -2.4000              2.4000                   -                   -                   1          40783.8121          40783.8121              1.0000          0.0000e+00          2.0412e-02          2.1427e-04
