################################## JSON file used at runtime    ###################################################################
### certifiedGolden_11mar2020_2016_2017_2018.json
################################## NO systematics used at runtime ###################################################################
################################## Preliminary Cut Values ###################################################################
########################### variableName                        value1          value2          value3          value4          level
### Preliminary cut values: produceSkim          1                 -               -               -               -1
### Preliminary cut values: eleEta_bar            	1.4442        -                    -               -               -1
### Preliminary cut values: eleEta_end1            	1.566        2.0                  -               -               -1
### Preliminary cut values: eleEta_end2            	2.000        2.5                  -               -               -1
### Preliminary cut values: QCDFakeRateFileName		/afs/cern.ch/user/s/scooper/work/public/Leptoquarks/qcd_fake_rate/2016/FR2D2JetReminiAOD23_10.root	- - - -1
### Preliminary cut values: TriggerSFFileName   egammaEffi.txt_EGM2D.root  - - - -1
### Preliminary cut values: RecoSFFileName /afs/cern.ch/user/s/scooper/work/public/Leptoquarks/egammaRecoSF/2018/egammaEffi.txt_EGM2D_updatedAll.root  - - - -1
### Preliminary cut values: AnalysisYear   2018  - - - -1
### Preliminary cut values: BTagAlgo       DeepJet  - - - -1
### Preliminary cut values: BTagWP         Medium   - - - -1
### Preliminary cut values: BTagCutValue   0.2770   - - - -1
################################## Cuts #########################################################################################################################################################################################################################
#id                       variableName                min1                max1                min2                max2               level                   N               Npass              EffRel           errEffRel              EffAbs           errEffAbs
  1                             NoCuts                   -                   -                   -                   -                  -1      195510810.0000      195510810.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  2                           PassJSON                   -                   -                   -                   -                  -1      195510810.0000      195510810.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  3                         nEle_ptCut                   -                   -                   -                   -                  -1      195510810.0000        8895447.0000          4.5498e-02          1.4904e-05          4.5498e-02          1.4904e-05
  4                            Ele1_Pt                   -                   -                   -                   -                  -1        8895447.0000        8895447.0000              1.0000          0.0000e+00          4.5498e-02          1.4904e-05
  5                        PassTrigger                   -                   -                   -                   -                  -1        8895447.0000        8687497.0000              0.9766          5.0661e-05          4.4435e-02          1.4737e-05
  6                        Reweighting              0.0000              1.0000                   -                   -                   0        8687497.0000   142955113531.5127          16455.2705          0.0000e+00            731.1878              0.2425
  7                        PassLHECuts              0.0000              1.0000                   -                   -                   0   142955113531.5127   106897573403.2266              0.7478              3.3220            546.7604              0.2338
  8                           PassJSON              0.0000              1.0000                   -                   -                   0   106897573403.2266   106897573403.2266              1.0000          0.0000e+00            546.7604              0.2338
  9                            PassHLT              0.0000              1.0000                   -                   -                   0   106897573403.2266   106897573403.2266              1.0000          0.0000e+00            546.7604              0.2338
 10 PassGlobalSuperTightHalo2016Filter              0.0000              1.0000                   -                   -                   0   106897573403.2266   106897525916.2012              1.0000          5.3429e-03            546.7602              0.2338
