################################## JSON file used at runtime    ###################################################################
### certifiedGolden_11mar2020_2016_2017_2018.json
################################## NO systematics used at runtime ###################################################################
################################## Preliminary Cut Values ###################################################################
########################### variableName                        value1          value2          value3          value4          level
### Preliminary cut values: produceSkim          1                 -               -               -               -1
### Preliminary cut values: eleEta_bar            	1.4442        -                    -               -               -1
### Preliminary cut values: eleEta_end1            	1.566        2.0                  -               -               -1
### Preliminary cut values: eleEta_end2            	2.000        2.5                  -               -               -1
### Preliminary cut values: QCDFakeRateFileName		/afs/cern.ch/user/s/scooper/work/public/Leptoquarks/qcd_fake_rate/2016/FR2D2JetReminiAOD23_10.root	- - - -1
### Preliminary cut values: TriggerSFFileName   egammaEffi.txt_EGM2D.root  - - - -1
### Preliminary cut values: RecoSFFileName /afs/cern.ch/user/s/scooper/work/public/Leptoquarks/egammaRecoSF/2018/egammaEffi.txt_EGM2D_updatedAll.root  - - - -1
### Preliminary cut values: AnalysisYear   2018  - - - -1
### Preliminary cut values: BTagAlgo       DeepJet  - - - -1
### Preliminary cut values: BTagWP         Medium   - - - -1
### Preliminary cut values: BTagCutValue   0.2770   - - - -1
################################## Cuts #########################################################################################################################################################################################################################
#id                       variableName                min1                max1                min2                max2               level                   N               Npass              EffRel           errEffRel              EffAbs           errEffAbs
  1                             NoCuts                   -                   -                   -                   -                  -1       15961000.0000       15961000.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  2                           PassJSON                   -                   -                   -                   -                  -1       15961000.0000       15961000.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  3                         nEle_ptCut                   -                   -                   -                   -                  -1       15961000.0000            271.0000          1.6979e-05          1.0314e-06          1.6979e-05          1.0314e-06
  4                            Ele1_Pt                   -                   -                   -                   -                  -1            271.0000            271.0000              1.0000          0.0000e+00          1.6979e-05          1.0314e-06
  5                        PassTrigger                   -                   -                   -                   -                  -1            271.0000            240.0000              0.8856          1.9334e-02          1.5037e-05          9.7060e-07
  6                        Reweighting              0.0000              1.0000                   -                   -                   0            240.0000          26668.6537            111.1194          0.0000e+00          1.6709e-03          1.0785e-04
  7                        PassLHECuts              0.0000              1.0000                   -                   -                   0          26668.6537          26668.6537              1.0000          0.0000e+00          1.6709e-03          1.0785e-04
  8                           PassJSON              0.0000              1.0000                   -                   -                   0          26668.6537          26668.6537              1.0000          0.0000e+00          1.6709e-03          1.0785e-04
  9                            PassHLT              0.0000              1.0000                   -                   -                   0          26668.6537          26668.6537              1.0000          0.0000e+00          1.6709e-03          1.0785e-04
 10 PassGlobalSuperTightHalo2016Filter              0.0000              1.0000                   -                   -                   0          26668.6537          26668.6537              1.0000          0.0000e+00          1.6709e-03          1.0785e-04
