################################## JSON file used at runtime    ###################################################################
### certifiedGolden_11mar2020_2016_2017_2018.json
################################## NO systematics used at runtime ###################################################################
################################## Preliminary Cut Values ###################################################################
########################### variableName                        value1          value2          value3          value4          level
### Preliminary cut values: produceSkim          1                 -               -               -               -1
### Preliminary cut values: eleEta_bar            	1.4442        -                    -               -               -1
### Preliminary cut values: eleEta_end1            	1.566        2.0                  -               -               -1
### Preliminary cut values: eleEta_end2            	2.000        2.5                  -               -               -1
### Preliminary cut values: QCDFakeRateFileName		/afs/cern.ch/user/s/scooper/work/public/Leptoquarks/qcd_fake_rate/2016/FR2D2JetReminiAOD23_10.root	- - - -1
### Preliminary cut values: TriggerSFFileName   egammaEffi.txt_EGM2D.root  - - - -1
### Preliminary cut values: RecoSFFileName /afs/cern.ch/user/s/scooper/work/public/Leptoquarks/egammaRecoSF/2018/egammaEffi.txt_EGM2D_updatedAll.root  - - - -1
### Preliminary cut values: AnalysisYear   2018  - - - -1
### Preliminary cut values: BTagAlgo       DeepJet  - - - -1
### Preliminary cut values: BTagWP         Medium   - - - -1
### Preliminary cut values: BTagCutValue   0.2770   - - - -1
################################## Cuts #########################################################################################################################################################################################################################
#id                       variableName                min1                max1                min2                max2               level                   N               Npass              EffRel           errEffRel              EffAbs           errEffAbs
  1                             NoCuts                   -                   -                   -                   -                  -1       58225632.0000       58225632.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  2                           PassJSON                   -                   -                   -                   -                  -1       58225632.0000       58225632.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  3                         nEle_ptCut                   -                   -                   -                   -                  -1       58225632.0000           3339.0000          5.7346e-05          9.9239e-07          5.7346e-05          9.9239e-07
  4                            Ele1_Pt                   -                   -                   -                   -                  -1           3339.0000           3339.0000              1.0000          0.0000e+00          5.7346e-05          9.9239e-07
  5                        PassTrigger                   -                   -                   -                   -                  -1           3339.0000           3096.0000              0.9272          4.4955e-03          5.3172e-05          9.5560e-07
  6                        Reweighting              0.0000              1.0000                   -                   -                   0           3096.0000           2931.2683              0.9468          0.0000e+00          5.0343e-05          9.0475e-07
  7                        PassLHECuts              0.0000              1.0000                   -                   -                   0           2931.2683           2931.2683              1.0000          0.0000e+00          5.0343e-05          9.0475e-07
  8                           PassJSON              0.0000              1.0000                   -                   -                   0           2931.2683           2931.2683              1.0000          0.0000e+00          5.0343e-05          9.0475e-07
  9                            PassHLT              0.0000              1.0000                   -                   -                   0           2931.2683           2931.2683              1.0000          0.0000e+00          5.0343e-05          9.0475e-07
 10 PassGlobalSuperTightHalo2016Filter              0.0000              1.0000                   -                   -                   0           2931.2683           2930.4048              0.9997          3.0577e-04          5.0328e-05          9.0463e-07
 11                   PassGoodVertices              0.0000              1.0000                   -                   -                   0           2930.4048           2930.4048              1.0000          0.0000e+00          5.0328e-05          9.0463e-07
 12                PassHBHENoiseFilter              0.0000              1.0000                   -                   -                   0           2930.4048           2930.4048              1.0000          0.0000e+00          5.0328e-05          9.0463e-07
 13             PassHBHENoiseIsoFilter              0.0000              1.0000                   -                   -                   0           2930.4048           2930.4048              1.0000          0.0000e+00          5.0328e-05          9.0463e-07
 14        PassBadEESupercrystalFilter              0.0000              1.0000                   -                   -                   0           2930.4048           2930.4048              1.0000          0.0000e+00          5.0328e-05          9.0463e-07
 15           PassEcalDeadCellTrigPrim              0.0000              1.0000                   -                   -                   0           2930.4048           2930.4048              1.0000          0.0000e+00          5.0328e-05          9.0463e-07
 16                PassBadPFMuonFilter              0.0000              1.0000                   -                   -                   0           2930.4048           2930.4048              1.0000          0.0000e+00          5.0328e-05          9.0463e-07
 17             PassEcalBadCalibFilter              0.0000              1.0000                   -                   -                   0           2930.4048           2930.4048              1.0000          0.0000e+00          5.0328e-05          9.0463e-07
 18                           PassNEle              0.0000              1.0000                   -                   -                   1           2930.4048           2930.4048              1.0000          0.0000e+00          5.0328e-05          9.0463e-07
 19                          PassNMuon              0.0000              1.0000                   -                   -                   1           2930.4048           2930.4048              1.0000          0.0000e+00          5.0328e-05          9.0463e-07
 20                    nEle_hltMatched                -inf                +inf                   -                   -                   1           2930.4048           2930.4048              1.0000          0.0000e+00          5.0328e-05          9.0463e-07
 21                    nJet_hltMatched                -inf                +inf                   -                   -                   1           2930.4048           2930.4048              1.0000          0.0000e+00          5.0328e-05          9.0463e-07
 22                            Ele1_Pt             50.0000                +inf                   -                   -                   1           2930.4048           2736.2588              0.9337          4.2984e-03          4.6994e-05          8.7505e-07
 23                           Ele1_Eta                -inf                +inf                   -                   -                   1           2736.2588           2736.2588              1.0000          0.0000e+00          4.6994e-05          8.7505e-07
 24                           Ele1_Phi                -inf                +inf                   -                   -                   1           2736.2588           2736.2588              1.0000          0.0000e+00          4.6994e-05          8.7505e-07
 25                            Ele2_Pt             50.0000                +inf                   -                   -                   1           2736.2588           1518.8209              0.5551          8.8653e-03          2.6085e-05          6.5478e-07
 26                           Ele2_Eta                -inf                +inf                   -                   -                   1           1518.8209           1518.8209              1.0000          0.0000e+00          2.6085e-05          6.5478e-07
 27                           Ele2_Phi                -inf                +inf                   -                   -                   1           1518.8209           1518.8209              1.0000          0.0000e+00          2.6085e-05          6.5478e-07
 28                               nJet                -inf                +inf                   -                   -                   1           1518.8209           1518.8209              1.0000          0.0000e+00          2.6085e-05          6.5478e-07
 29                            Jet1_Pt             50.0000                +inf                   -                   -                   1           1518.8209           1190.9765              0.7841          9.7813e-03          2.0455e-05          5.7853e-07
 30                           Jet1_Eta             -2.4000              2.4000                   -                   -                   1           1190.9765           1190.9765              1.0000          0.0000e+00          2.0455e-05          5.7853e-07
 31                           Jet1_Phi                -inf                +inf                   -                   -                   1           1190.9765           1190.9765              1.0000          0.0000e+00          2.0455e-05          5.7853e-07
 32                            Jet2_Pt             50.0000                +inf                   -                   -                   1           1190.9765            355.2680              0.2983          1.2303e-02          6.1016e-06          3.1550e-07
 33                           Jet2_Eta             -2.4000              2.4000                   -                   -                   1            355.2680            355.2680              1.0000          0.0000e+00          6.1016e-06          3.1550e-07
 34                           Jet2_Phi             -1.5700             -0.8700                   -                   -                   1            355.2680             42.5813              0.1199          1.5919e-02          7.3132e-07          1.0902e-07
 35                            Jet3_Pt                -inf                +inf                   -                   -                   1             42.5813             42.5813              1.0000          0.0000e+00          7.3132e-07          1.0902e-07
 36                           Jet3_Eta             -2.4000              2.4000                   -                   -                   1             42.5813             42.5813              1.0000          0.0000e+00          7.3132e-07          1.0902e-07
 37                           Jet3_Phi                -inf                +inf                   -                   -                   1             42.5813             42.5813              1.0000          0.0000e+00          7.3132e-07          1.0902e-07
 38                        DR_Ele1Jet1                -inf                +inf                   -                   -                   1             42.5813             42.5813              1.0000          0.0000e+00          7.3132e-07          1.0902e-07
 39                        DR_Ele1Jet2                -inf                +inf                   -                   -                   1             42.5813             42.5813              1.0000          0.0000e+00          7.3132e-07          1.0902e-07
