################################## JSON file used at runtime    ###################################################################
### certifiedGolden_11mar2020_2016_2017_2018.json
################################## NO systematics used at runtime ###################################################################
################################## Preliminary Cut Values ###################################################################
########################### variableName                        value1          value2          value3          value4          level
### Preliminary cut values: produceSkim          1                 -               -               -               -1
### Preliminary cut values: eleEta_bar            	1.4442        -                    -               -               -1
### Preliminary cut values: eleEta_end1            	1.566        2.0                  -               -               -1
### Preliminary cut values: eleEta_end2            	2.000        2.5                  -               -               -1
### Preliminary cut values: QCDFakeRateFileName		/afs/cern.ch/user/s/scooper/work/public/Leptoquarks/qcd_fake_rate/2016/FR2D2JetReminiAOD23_10.root	- - - -1
### Preliminary cut values: TriggerSFFileName   egammaEffi.txt_EGM2D.root  - - - -1
### Preliminary cut values: RecoSFFileName /afs/cern.ch/user/s/scooper/work/public/Leptoquarks/egammaRecoSF/2018/egammaEffi.txt_EGM2D_updatedAll.root  - - - -1
### Preliminary cut values: AnalysisYear   2018  - - - -1
### Preliminary cut values: BTagAlgo       DeepJet  - - - -1
### Preliminary cut values: BTagWP         Medium   - - - -1
### Preliminary cut values: BTagCutValue   0.2770   - - - -1
################################## Cuts #########################################################################################################################################################################################################################
#id                       variableName                min1                max1                min2                max2               level                   N               Npass              EffRel           errEffRel              EffAbs           errEffAbs
  1                             NoCuts                   -                   -                   -                   -                  -1        9889000.0000        9889000.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  2                           PassJSON                   -                   -                   -                   -                  -1        9889000.0000        9889000.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  3                         nEle_ptCut                   -                   -                   -                   -                  -1        9889000.0000         222406.0000          2.2490e-02          4.7150e-05          2.2490e-02          4.7150e-05
  4                            Ele1_Pt                   -                   -                   -                   -                  -1         222406.0000         222406.0000              1.0000          0.0000e+00          2.2490e-02          4.7150e-05
  5                        PassTrigger                   -                   -                   -                   -                  -1         222406.0000         219424.0000              0.9866          2.4388e-04          2.2189e-02          4.6840e-05
  6                        Reweighting              0.0000              1.0000                   -                   -                   0         219424.0000           3010.9268          1.3722e-02          0.0000e+00          3.0447e-04          6.4274e-07
  7                        PassLHECuts              0.0000              1.0000                   -                   -                   0           3010.9268           3010.9268              1.0000          0.0000e+00          3.0447e-04          6.4274e-07
  8                           PassJSON              0.0000              1.0000                   -                   -                   0           3010.9268           3010.9268              1.0000          0.0000e+00          3.0447e-04          6.4274e-07
  9                            PassHLT              0.0000              1.0000                   -                   -                   0           3010.9268           3010.9268              1.0000          0.0000e+00          3.0447e-04          6.4274e-07
 10 PassGlobalSuperTightHalo2016Filter              0.0000              1.0000                   -                   -                   0           3010.9268           3010.7520              0.9999          2.2547e-07          3.0445e-04          6.4272e-07
