### ZJet_amcatnlo_Inc
 #id                        variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
   0                              NoCuts               -               -               -               -     13810446.6766        0.0000e+00          1.0000      0.0000e+00          1.0000      0.0000e+00
   1                            PassJSON               -               -               -               -     13810446.6766          987.6938          1.0000     -1.0000e+00          1.0000     -1.0000e+00
   2                          nEle_ptCut               -               -               -               -       628354.4959          210.6788      4.5498e-02      1.4914e-05      4.5498e-02      1.4554e-05
   3                             Ele1_Pt               -               -               -               -       628354.4959          210.6788          1.0000      0.0000e+00      4.5498e-02      1.4554e-05
   4                         PassTrigger               -               -               -               -       613665.3726          208.2017          0.9766      5.0694e-05      4.4435e-02      1.4399e-05
   5                         Reweighting          0.0000          1.0000               -               -  10098029733.3944      4816526.0642      16455.2705     -1.0000e+00        731.1878     -1.0000e+00
   6                         PassLHECuts          0.0000          1.0000               -               -   7551005682.7421      3759040.7868          0.7478      2.4211e-04        546.7604     -1.0000e+00
   7                            PassJSON          0.0000          1.0000               -               -   7551005682.7421      3759040.7868          1.0000      0.0000e+00        546.7604     -1.0000e+00
   8                             PassHLT          0.0000          1.0000               -               -   7551005682.7421      3759040.7868          1.0000      0.0000e+00        546.7604     -1.0000e+00
   9  PassGlobalSuperTightHalo2016Filter          0.0000          1.0000               -               -   7551002328.3648      3759040.0379          1.0000      3.1444e-07        546.7602     -1.0000e+00
  10                    PassGoodVertices          0.0000          1.0000               -               -   7550996287.9325      3759038.8103          1.0000      4.0257e-07        546.7597     -1.0000e+00
  11                 PassHBHENoiseFilter          0.0000          1.0000               -               -   7550915895.5329      3759018.6702          1.0000      1.6306e-06        546.7539     -1.0000e+00
  12              PassHBHENoiseIsoFilter          0.0000          1.0000               -               -   7550796070.1314      3758985.9692          1.0000      2.0778e-06        546.7452     -1.0000e+00
  13         PassBadEESupercrystalFilter          0.0000          1.0000               -               -   7550796070.1314      3758985.9692          1.0000      0.0000e+00        546.7452     -1.0000e+00
  14            PassEcalDeadCellTrigPrim          0.0000          1.0000               -               -   7550794025.6263      3758985.4132          1.0000      2.7094e-07        546.7451     -1.0000e+00
  15                 PassBadPFMuonFilter          0.0000          1.0000               -               -   7550632793.4991      3758946.4054          1.0000      2.2694e-06        546.7334     -1.0000e+00
  16              PassEcalBadCalibFilter          0.0000          1.0000               -               -   7550627866.6401      3758945.3285          1.0000      3.7709e-07        546.7331     -1.0000e+00
  17                            PassNEle          0.0000          1.0000               -               -   7550627866.6401      3758945.3285          1.0000      0.0000e+00        546.7331     -1.0000e+00
  18                           PassNMuon          0.0000          1.0000               -               -   7550315589.9390      3758871.1749          1.0000      3.1290e-06        546.7105     -1.0000e+00
  19                     nEle_hltMatched            -inf            +inf               -               -   7550315589.9390      3758871.1749          1.0000      0.0000e+00        546.7105     -1.0000e+00
  20                     nJet_hltMatched            -inf            +inf               -               -   7550315589.9390      3758871.1749          1.0000      0.0000e+00        546.7105     -1.0000e+00
