################################## JSON file used at runtime    ###################################################################
### certifiedGolden_11mar2020_2016_2017_2018.json
################################## NO systematics used at runtime ###################################################################
################################## Preliminary Cut Values ###################################################################
########################### variableName                        value1          value2          value3          value4          level
### Preliminary cut values: produceSkim           1                 -               -               -               -1
### Preliminary cut values: eleEta_bar            1.4442           -                -               -               -1
### Preliminary cut values: eleEta_end1           1.566            2.0              -               -               -1
### Preliminary cut values: eleEta_end2           2.000            2.5              -               -               -1
### Preliminary cut values: QCDFakeRateFilename	   /afs/cern.ch/user/e/eipearso/public/plotsToShare/fr2D_2018.root - - - -1
### Preliminary cut values: QCDCalcType            double   -   -   -   -1
### Preliminary cut values: AnalysisYear   2016postVFP  - - - -1
### Preliminary cut values: electronIDType             HEEP  - - - -1
### Preliminary cut values: BTagAlgo       DeepJet  - - - -1
### Preliminary cut values: BTagWP         Medium   - - - -1
### Preliminary cut values: BTagCutValue   0.2598   - - - -1
################################## Cuts #########################################################################################################################################################################################################################
#id                       variableName                min1                max1                min2                max2               level                   N               Npass              EffRel           errEffRel              EffAbs           errEffAbs
  1                             NoCuts                   -                   -                   -                   -                  -1      752524583.0000      752524583.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
  2                           PassJSON                   -                   -                   -                   -                  -1      752524583.0000      728072726.0000              0.9675          6.4634e-06              0.9675          6.4634e-06
  3                         nEle_ptCut                   -                   -                   -                   -                  -1      728072726.0000      303396524.0000              0.4167          1.8271e-05              0.4032          1.7882e-05
  4                            Ele1_Pt                   -                   -                   -                   -                  -1      303396524.0000      303396454.0000              1.0000          2.7576e-08              0.4032          1.7882e-05
  5                        PassTrigger                   -                   -                   -                   -                  -1      303396454.0000       10617337.0000          3.4995e-02          1.0550e-05          1.4109e-02          4.2993e-06
  6                        Reweighting              0.0000              1.0000                   -                   -                   0       10617337.0000          0.0000e+00          0.0000e+00                -nan          0.0000e+00                -nan
  7                        PassLHECuts              0.0000              1.0000                   -                   -                   0          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
  8                           PassJSON              0.0000              1.0000                   -                   -                   0          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
  9                            PassHLT              0.0000              1.0000                   -                   -                   0          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 10 PassGlobalSuperTightHalo2016Filter              0.0000              1.0000                   -                   -                   0          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 11                   PassGoodVertices              0.0000              1.0000                   -                   -                   0          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
