### QCDFakes_EGamma_2018D
 #id                        variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
   0                              NoCuts               -               -               -               -    752524583.0000        0.0000e+00          1.0000      0.0000e+00          1.0000      0.0000e+00
   1                            PassJSON               -               -               -               -    728072726.0000        26982.8228          0.9675     -1.0000e+00          0.9675     -1.0000e+00
   2                          nEle_ptCut               -               -               -               -    303396524.0000        17418.2813          0.4167      1.8283e-05          0.4032      1.0192e-05
   3                             Ele1_Pt               -               -               -               -    303396454.0000        17418.2793          1.0000      2.7594e-08          0.4032      1.0192e-05
   4                         PassTrigger               -               -               -               -     10617337.0000         3258.4255      3.4995e-02      1.0557e-05      1.4109e-02      4.2712e-06
   5                         Reweighting          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   6                         PassLHECuts          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   7                            PassJSON          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   8                             PassHLT          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   9  PassGlobalSuperTightHalo2016Filter          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  10                    PassGoodVertices          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  11                 PassHBHENoiseFilter          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  12              PassHBHENoiseIsoFilter          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  13         PassBadEESupercrystalFilter          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  14            PassEcalDeadCellTrigPrim          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  15                 PassBadPFMuonFilter          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  16            PassEcalBadCalibV2Filter          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  17                            PassNEle          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  18                           PassNMuon          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  19                     nEle_hltMatched            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  20                     nJet_hltMatched            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  21                        Ele1_Pt_skim         40.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  22                        Ele2_Pt_skim         40.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  23                  PassIDRequirements          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  24                                nJet            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  25                             Jet1_Pt         50.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
