# m_LQ [GeV] 	σ (NLO) [pb] 	δ_stat 	δ_scaleUp (%) 	δ_scaleDown (%) 	δ_PDFUp (%) 	δ_PDFDown (%)
200 	6.352e+01 	4.4e-01 	12.9 	12.5 	2.7 	2.7
210 	5.010e+01 	3.4e-01 	12.4 	12.4 	2.8 	2.8
220 	3.973e+01 	2.3e-01 	12.6 	12.5 	2.9 	2.9
230 	3.206e+01 	2.1e-01 	12.9 	12.7 	2.9 	2.9
240 	2.596e+01 	1.5e-01 	12.1 	12.4 	3.0 	3.0
250 	2.133e+01 	1.5e-01 	12.0 	12.4 	3.1 	3.1
260 	1.749e+01 	9.4e-02 	12.2 	12.6 	3.2 	3.2
270 	1.452e+01 	9.2e-02 	12.4 	12.7 	3.2 	3.2
280 	1.192e+01 	6.1e-02 	12.1 	12.6 	3.3 	3.3
290 	1.000e+01 	6.2e-02 	12.1 	12.6 	3.4 	3.4
300 	8.402e+00 	5.7e-02 	12.2 	12.7 	3.4 	3.4
310 	7.025e+00 	4.6e-02 	11.6 	12.4 	3.5 	3.5
320 	5.995e+00 	3.9e-02 	12.1 	12.7 	3.7 	3.7
330 	5.102e+00 	3.1e-02 	11.5 	12.4 	3.7 	3.7
340 	4.345e+00 	2.5e-02 	11.8 	12.6 	3.7 	3.7
350 	3.744e+00 	2.6e-02 	12.0 	12.8 	3.8 	3.8
360 	3.203e+00 	2.1e-02 	11.8 	12.7 	3.9 	3.9
370 	2.783e+00 	2.1e-02 	11.9 	12.8 	4.0 	4.0
380 	2.384e+00 	1.6e-02 	11.4 	12.6 	4.0 	4.0
390 	2.062e+00 	1.2e-02 	11.3 	12.5 	4.1 	4.1
400 	1.813e+00 	1.3e-02 	11.6 	12.7 	4.1 	4.1
410 	1.561e+00 	9.4e-03 	11.3 	12.6 	4.2 	4.2
420 	1.371e+00 	8.6e-03 	11.6 	12.8 	4.3 	4.3
430 	1.199e+00 	7.5e-03 	11.9 	12.9 	4.4 	4.4
440 	1.062e+00 	6.5e-03 	11.5 	12.8 	4.4 	4.4
450 	9.321e-01 	5.8e-03 	12.1 	13.1 	4.5 	4.5
460 	8.180e-01 	4.9e-03 	12.0 	13.0 	4.6 	4.6
470 	7.236e-01 	4.2e-03 	11.0 	12.6 	4.6 	4.6
480 	6.396e-01 	3.7e-03 	11.4 	12.8 	4.7 	4.7
490 	5.617e-01 	3.3e-03 	11.2 	12.7 	4.8 	4.8
500 	5.010e-01 	2.9e-03 	11.2 	12.7 	4.8 	4.8
510 	4.514e-01 	2.5e-03 	11.2 	12.7 	4.9 	4.9
520 	4.040e-01 	2.4e-03 	11.6 	12.9 	4.9 	4.9
